press,ratio,mean_score,mean_kept_frac,mean_latency_s
domain_aware,0.3,0.47068027210884356,0.6999902467570468,0.7899106638772148
domain_aware,0.5,0.5008163265306123,0.4999512337852336,0.7925093242100307
domain_aware,0.7,0.40522029324550335,0.30020481810201893,0.8465778623308454
knorm,0.3,0.43183673469387757,0.6985272603140545,0.8197858946663993
knorm,0.5,0.39712192569335425,0.49897590948990544,0.8482283660343715
knorm,0.7,0.3576997978678651,0.2983517019408954,0.8471754482814244
oracle,0.0,0.586530612244898,1.0,0.7434812613895961
random,0.3,0.38364158717099894,0.6985272603140545,0.8386964048658099
random,0.5,0.2990624594826275,0.49897590948990544,0.8383559908185686
random,0.7,0.045852187028657614,0.2983517019408954,0.8425818170819964
snapkv,0.3,0.42523809523809525,0.6985272603140545,0.8442843232836043
snapkv,0.5,0.2617153177060298,0.49897590948990544,0.8572497776576451
snapkv,0.7,0.22406015037593985,0.2983517019408954,0.8574181011744908
